plan,PB,EG,MM,PG,county_splits,muni_splits,cut_edges,always_r_count,total_dem_wins,races_with_dem_win,pres_12_dem_wins,pres_16_dem_wins,sen_16_dem_wins,pres_20_dem_wins,sen_18_dem_wins,gov_16_dem_wins,gov_20_dem_wins,ag_16_dem_wins,ag_20_dem_wins,aud_20_dem_wins,ag_24_dem_wins,gov_24_dem_wins,sen_24_dem_wins,aud_24_dem_wins,pres_24_dem_wins,polsby_mean,polsby_min,reock_mean,reock_min
2021EnactedPlan,0.0000,-0.1297,0.0004,0.0009,5,13,306,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3396,0.2618,0.4326,0.3953
Escamilla_Owens,-0.2500,0.1109,-0.0525,0.1050,4,7,245,3,11,11,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0.4021,0.2253,0.5240,0.4853
OptionA,0.0000,-0.1297,0.0016,0.0033,3,4,246,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.3818,0.2404,0.4867,0.3556
OptionB,0.0000,-0.1297,-0.0024,0.0048,3,4,271,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.3604,0.2332,0.4743,0.3840
OptionC,0.0000,-0.1297,0.0143,0.0286,3,3,249,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4003,0.2266,0.4964,0.3571
OptionD,0.0000,-0.1297,0.0035,0.0071,5,5,290,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.2535,0.1592,0.4719,0.2236
OptionE,0.0000,-0.1297,0.0057,0.0113,4,2,314,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.3947,0.2155,0.4591,0.3167
Plaintiff1,-0.2500,0.1058,-0.0607,0.1215,2,1,240,3,12,12,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0.4394,0.3663,0.4965,0.4443
Plaintiff2,0.0000,-0.1297,-0.0256,0.0512,2,2,249,3,10,10,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0.3805,0.2351,0.4864,0.3558
UIRCOrange,-0.2500,0.1105,-0.0526,0.1052,4,7,230,3,11,11,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0.4316,0.2450,0.5491,0.5021
UIRCPublic,-0.2500,0.1314,-0.0423,0.0847,4,7,271,3,10,10,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0.3773,0.2804,0.4412,0.4211
UIRCPurple,-0.2500,0.1197,-0.0400,0.0800,4,5,279,3,10,10,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0.3096,0.1629,0.4432,0.3288
